,Key,Description,en,ko,origin
0,,,,데이터 통신에 실패하였습니다.,showDefaultToast('데이터 통신에 실패하였습니다.');
1,,,,노무 상담 하기,"title: '노무 상담 하기',"
2,,,,노동관계 분야 전반에 대한 사항을 분석하여 n합리적인 개선방안을 제시해드려요.,"'노동관계 분야 전반에 대한 사항을 분석하여\n합리적인 개선방안을 제시해드려요.',"
3,,,,상담 신청하기,"'상담 신청하기',"
4,,,,상담 내역,"'상담 내역',"
5,,,,총 ${total}건,"""총 ${total}건"","
6,,,,내 상담 내역,"""내 상담 내역"","
7,,,,답변완료,"'답변완료',"
8,,,,답변 대기중,"'답변 대기중',"
9,,,,문의에 대한 답변드립니다.,"'문의에 대한 답변드립니다.',"
10,,,,---답변입니다.,"//           const Text(""---답변입니다.""),"
11,,,,상담한 내역이 없어요,"child: CommonEmpty(text: '상담한 내역이 없어요'))),"
