,Key,Description,en,ko,origin
0,,,,입력하신 정보를 다시 확인해주세요.,static String userInfoFormat = '입력하신 정보를 다시 확인해주세요.';
1,,,,이메일 형식의 아이디를 입력해주세요.,static String emailFormat = '이메일 형식의 아이디를 입력해주세요.';
2,,,,이메일 형식으로 입력해주세요.,static String emailFormat2 = '이메일 형식으로 입력해주세요.';
3,,,,이메일 주소를 입력해주세요.,static String emailEnter = '이메일 주소를 입력해주세요.';
4,,,,중복된 이메일 주소입니다.,static String emailExist = '중복된 이메일 주소입니다.';
5,,,,존재하지 않는 이메일 주소입니다.,static String emailAbsence = '존재하지 않는 이메일 주소입니다.';
6,,,,영문/숫자/특수문자 포함 8~16자로 입력해주세요.,static String pwFormat = '영문/숫자/특수문자 포함 8~16자로 입력해주세요.';
7,,,,비밀번호를 입력해주세요.,static String pwEnter = '비밀번호를 입력해주세요.';
8,,,,비밀번호가 일치하지 않습니다.,static String pwMismatch = '비밀번호가 일치하지 않습니다.';
9,,,,이전 비밀번호와 같은 비밀번호입니다.,static String pwError = '이전 비밀번호와 같은 비밀번호입니다.';
10,,,,비밀번호가 일치합니다.,static String pwAvailable = '비밀번호가 일치합니다.';
11,,,,이름은 필수입니다.,static String nameEmpty = '이름은 필수입니다.';
12,,,,이름을 입력해주세요.,static String nameEnter = '이름을 입력해주세요.';
13,,,,생년월일은 필수입니다.,static String birthEmpty = '생년월일은 필수입니다.';
14,,,,생년월일 8자리를 입력해주세요.,static String birthEnter = '생년월일 8자리를 입력해주세요.';
15,,,,휴대폰 번호는 필수입니다.,static String phoneEmpty = '휴대폰 번호는 필수입니다.';
16,,,,휴대폰 번호를 입력해주세요.,static String phoneNumEnter = '휴대폰 번호를 입력해주세요.';
17,,,,올바른 휴대폰 번호를 입력해주세요.,static String phoneInputError = '올바른 휴대폰 번호를 입력해주세요.';
18,,,,인증번호는 필수입니다.,static String certificationCodeEmpty = '인증번호는 필수입니다.';
19,,,,인증번호 6자리,static String certificationCodeEnter = '인증번호 6자리';
20,,,,올바른 인증번호를 입력해주세요.,static String certificationCodeMismatch ='올바른 인증번호를 입력해주세요.';
21,,,,인증 시간이 초과되었습니다.,static String certificationCodeAbsence = '인증 시간이 초과되었습니다.';
22,,,,휴대폰 인증이 완료되었습니다.,static String certificationCodeConfirmed = '휴대폰 인증이 완료되었습니다.';
23,,,,주소는 필수입니다.,static String addressEmpty = '주소는 필수입니다.';
24,,,,[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.,static String addressEnter = '[주소 검색] 도로명 또는 지번 주소를 입력해 주세요.';
25,,,,"(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.","static String addressDetailEnter = '(선택) 층, 동, 호수 등 상세 주소를 입력해 주세요.';"
26,,,,(선택) 계정 이메일 주소를 입력해주세요.,static String recommenderEnter = '(선택) 계정 이메일 주소를 입력해주세요.';
27,,,,기업명은 필수입니다.,static String companyNameEmpty = '기업명은 필수입니다.';
28,,,,기업명을 입력해주세요.,static String companyNameEnter = '기업명을 입력해주세요.';
29,,,,업종은 필수입니다.,static String industryEmpty = '업종은 필수입니다.';
30,,,,업종 구분을 입력해주세요.,static String industryEnter = '업종 구분을 입력해주세요.';
31,,,,사업자 등록번호는 필수입니다.,static String registrationNumberEmpty = '사업자 등록번호는 필수입니다.';
32,,,,사업자 등록번호를 입력해주세요.,static String registrationNumberEnter = '사업자 등록번호를 입력해주세요.';
33,,,,회원 가입된 사업자 등록증 번호입니다. n관련 문의는 고객 센터를 이용해주세요.,static String registrationNumberExist = '회원 가입된 사업자 등록증 번호입니다.\n관련 문의는 고객 센터를 이용해주세요.';
34,,,,대표자명은 필수입니다.,static String ownerNameEmpty = '대표자명은 필수입니다.';
35,,,,대표자명을 입력해주세요.,static String ownerNameEnter = '대표자명을 입력해주세요.';
36,,,,개업 일자는 필수입니다.,static String openingDateEmpty = '개업 일자는 필수입니다.';
37,,,,개업 일자를 입력해주세요.,static String openingDateEnter = '개업 일자를 입력해주세요.';
38,,,,다시 시도해 주세요.,static String retry = '다시 시도해 주세요.';
